pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-24 b,K2-24,1,2,Transit,2016,K2,0,20.88977,0.00034,-0.00035,0.0,0.154,0.002,-0.002,0.0,5.4,0.2,-0.2,0.0,0.482,0.018,-0.018,0.0,19.0,2.2,-2.1,0.0,0.05978,0.00692,-0.00661,0.0,Mass,0.06,0.01,-0.01,0.0,60.1,12.4,-12.4,0.0,709.0,36.0,-36.0,0.0,1,G9 V,5625.0,60.0,-60.0,0.0,1.16,0.04,-0.04,0.0,1.07,0.06,-0.06,0.0,0.34,0.04,-0.04,0.0,[Fe/H],4.29,0.05,-0.05,0.0,16h10m17.63s,242.5734559,-24d59m26.17s,-24.9906029,170.562,1.36,-1.338,11.275,0.019,-0.019,9.18,0.021,-0.021,10.9072,0.0003,-0.0003
K2-25 b,K2-25,1,1,Transit,2015,K2,0,3.48456408,6e-07,-5e-07,0.0,0.0287,0.0012,-0.0012,0.0,3.44,0.12,-0.12,0.0,0.306,0.011,-0.011,0.0,24.5,5.7,-5.2,0.0,0.07709,0.01793,-0.01636,0.0,Mass,0.428,0.05,-0.049,0.0,9.91,0.95,-0.86,0.0,494.0,11.0,-11.0,0.0,0,M4.5 V,3207.0,58.0,-58.0,0.0,0.29,0.01,-0.01,0.0,0.26,0.01,-0.01,0.0,0.15,0.03,-0.03,0.0,[Fe/H],4.94,0.03,-0.03,0.0,04h13m05.74s,63.2739346,+15d14m51.73s,15.2477027,44.9565,0.1664,-0.1653,16.21,0.2,-0.2,10.444,0.019,-0.019,14.3817,0.000951,-0.000951
K2-261 b,K2-261,1,1,Transit,2018,K2,0,11.633478,1.7e-05,-1.7e-05,0.0,0.1034,0.0015,-0.0016,0.0,9.528,0.392,-0.381,0.0,0.85,0.035,-0.034,0.0,59.75174,7.94571,-7.94571,0.0,0.188,0.025,-0.025,0.0,Mass,0.286,0.064,-0.069,0.0,180.0,15.0,-10.0,0.0,1046.0,21.0,-22.0,0.0,0,G7 IV/V,5445.0,77.0,-76.0,0.0,1.64,0.06,-0.06,0.0,1.09,0.05,-0.05,0.0,0.36,0.059,-0.059,0.0,[Fe/H],4.04,0.03,-0.03,0.0,10h52m07.75s,163.0323119,+00d29m35.40s,0.493167,213.283,1.975,-1.941,10.612,0.009,-0.009,8.89,0.022,-0.022,10.4594,0.000314,-0.000314
K2-29 b,K2-29,2,1,Transit,2016,K2,0,3.2588321,1.9e-06,-1.9e-06,0.0,0.04217,0.00024,-0.00024,0.0,13.339,0.224,-0.224,0.0,1.19,0.02,-0.02,0.0,232.0159,12.7132,-12.7132,0.0,0.73,0.04,-0.04,0.0,Mass,0.066,0.022,-0.022,0.0,293.0,30.0,-30.0,0.0,1171.0,10.0,-10.0,0.0,0,G7 V,5358.0,38.0,-38.0,0.0,0.86,0.01,-0.01,0.0,0.94,0.02,-0.02,0.0,0.16,0.03,-0.03,0.0,[Fe/H],4.54,0.01,-0.01,0.0,04h10m40.90s,62.670422,+24d24m05.96s,24.4016558,178.475,1.32,-1.301,12.532,0.103,-0.103,10.062,0.034,-0.034,12.2008,0.000375,-0.000375
K2-292 b,K2-292,1,1,Transit,2019,K2,0,16.9841,0.0008,-0.0008,0.0,0.13,0.01,-0.01,0.0,2.63,0.11,-0.1,0.0,0.235,0.01,-0.009,0.0,24.5,4.4,-4.4,0.0,0.07709,0.01384,-0.01384,0.0,Mass,0.04,0.06,-0.03,0.0,67.0,12.0,-9.0,0.0,795.0,33.0,-28.0,0.0,0,G3 V,5725.0,65.0,-65.0,0.0,1.09,0.03,-0.03,0.0,1.0,0.03,-0.03,0.0,0.07,0.05,-0.05,0.0,[Fe/H],4.33,0.04,-0.04,0.0,13h41m30.21s,205.3758786,-09d56m45.85s,-9.9460704,114.293,0.825,-0.812,9.885,0.005,-0.005,8.407,0.027,-0.027,9.75597,0.000335,-0.000335
K2-3 b,K2-3,1,3,Transit,2015,K2,0,10.0546535,8.8e-06,-9.1e-06,0.0,0.0747,0.0013,-0.0012,0.0,2.078,0.076,-0.067,0.0,0.185,0.007,-0.006,0.0,5.11,0.65,-0.64,0.0,0.01608,0.00205,-0.00201,0.0,Mass,0.107,0.057,-0.059,0.0,10.5,1.0,-1.0,0.0,501.0,5.0,-5.0,0.0,0,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.7,0.02,-0.03,0.0,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959
K2-3 c,K2-3,1,3,Transit,2015,K2,0,24.646729,4.4e-05,-4.2e-05,0.0,0.1357,0.0023,-0.0022,0.0,1.582,0.057,-0.051,0.0,0.141,0.005,-0.005,0.0,2.68,0.85,-0.85,0.0,0.00843,0.00267,-0.00267,0.0,Mass,0.048,0.073,-0.035,0.0,3.17,0.3,-0.3,0.0,372.0,4.0,-4.0,0.0,0,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.7,0.02,-0.03,0.0,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959
K2-32 b,K2-32,2,4,Transit,2016,K2,0,8.992,8e-05,-8e-05,0.0,0.0795,0.00066,-0.00062,0.0,5.299,0.191,-0.191,0.0,0.473,0.017,-0.017,0.0,15.0,1.8,-1.7,0.0,0.0472,0.00566,-0.00535,0.0,Mass,0.03,0.032,-0.021,0.0,77.7,10.8,-8.3,0.0,837.0,13.0,-14.0,0.0,0,G9 V,5271.0,39.0,-35.0,0.0,0.86,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,-0.06,0.03,-0.03,0.0,[Fe/H],4.49,0.03,-0.03,0.0,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,157.682,1.309,-1.288,12.304,0.092,-0.092,9.821,0.019,-0.019,12.0036,0.000259,-0.000259
K2-32 c,K2-32,2,4,Transit,2016,K2,0,20.66093,0.0008,-0.00079,0.0,0.13843,0.00115,-0.00108,0.0,3.134,0.123,-0.102,0.0,0.28,0.011,-0.009,0.0,8.1,2.4,-2.4,0.0,0.02549,0.00755,-0.00755,0.0,Mass,0.049,0.046,-0.035,0.0,25.6,3.6,-2.7,0.0,634.0,9.0,-11.0,0.0,0,G9 V,5271.0,39.0,-35.0,0.0,0.86,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,-0.06,0.03,-0.03,0.0,[Fe/H],4.49,0.03,-0.03,0.0,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,157.682,1.309,-1.288,12.304,0.092,-0.092,9.821,0.019,-0.019,12.0036,0.000259,-0.000259
K2-32 d,K2-32,2,4,Transit,2016,K2,0,31.71701,0.00101,-0.00096,0.0,0.18422,0.00152,-0.00144,0.0,3.484,0.112,-0.129,0.0,0.311,0.01,-0.012,0.0,6.7,2.5,-2.5,0.0,0.02108,0.00787,-0.00787,0.0,Mass,0.05,0.053,-0.035,0.0,14.5,2.0,-1.5,0.0,550.0,8.0,-9.0,0.0,0,G9 V,5271.0,39.0,-35.0,0.0,0.86,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,-0.06,0.03,-0.03,0.0,[Fe/H],4.49,0.03,-0.03,0.0,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,157.682,1.309,-1.288,12.304,0.092,-0.092,9.821,0.019,-0.019,12.0036,0.000259,-0.000259
KELT-11 b,KELT-11,1,1,Transit,2017,KELT-South,0,4.7361,3e-05,-3e-05,0.0,0.06229,0.00088,-0.00076,0.0,15.132,1.121,-1.121,0.0,1.35,0.1,-0.1,0.0,54.34893,4.76745,-4.76745,0.0,0.171,0.015,-0.015,0.0,Mass,0.0007,0.002,-0.0005,0.0,1433.0,176.0,-147.0,0.0,1712.0,51.0,-46.0,0.0,0,G8/K0 IV,5375.0,25.0,-25.0,0.0,2.69,0.04,-0.04,0.0,1.44,0.07,-0.07,0.0,0.17,0.07,-0.07,0.0,[Fe/H],3.7,0.1,-0.1,0.0,10h46m49.66s,161.7069053,-09d23m57.71s,-9.3993646,99.1596,0.52105,-0.52105,8.04,0.03,-0.03,6.122,0.018,-0.018,7.83112,0.000371,-0.000371
KELT-24 b,KELT-24,2,1,Transit,2019,KELT-North,0,5.55149296,5e-07,-5.3e-07,0.0,0.0665,0.0011,-0.0011,0.0,12.711,0.303,-0.291,0.0,1.134,0.027,-0.026,0.0,1458.83239,57.20911,-57.20911,0.0,4.59,0.18,-0.18,0.0,Mass,0.0319,0.0079,-0.0074,0.0,624.0,40.0,-40.0,0.0,1391.0,22.0,-23.0,0.0,0,F7,6426.0,93.0,-91.0,0.0,1.34,0.03,-0.03,0.0,1.27,0.06,-0.06,0.0,0.138,0.086,-0.082,0.0,[Fe/H],4.29,0.01,-0.01,0.0,10h47m38.17s,161.9090273,+71d39m20.62s,71.655727,96.5173,0.3132,-0.3113,8.34,0.03,-0.03,7.154,0.021,-0.021,8.23752,0.000357,-0.000357
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,0,86.647661,3.4e-05,-3.4e-05,0.0,0.382,0.006,-0.006,0.0,10.54,1.35,-1.35,0.0,0.94,0.12,-0.12,0.0,460.83,111.24,-111.24,0.0,1.45,0.35,-0.35,0.0,Mass,0.772,0.045,-0.045,0.0,7.28,2.73,-2.22,0.0,511.0,50.0,-50.0,0.0,0,G5 V,5520.0,80.0,-80.0,0.0,1.13,0.14,-0.14,0.0,0.99,0.05,-0.05,0.0,0.27,0.09,-0.09,0.0,[Fe/H],4.32,0.1,-0.1,0.0,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,656.0,55.665,-39.926,14.818,0.069,-0.069,12.726,0.023,-0.023,14.6419,0.00049,-0.00049
Kepler-101 b,Kepler-101,1,2,Transit,2014,Kepler,0,3.4876812,7e-06,-7e-06,0.0,0.0474,0.001,-0.0008,0.0,5.77,0.85,-0.79,0.0,0.51,0.08,-0.07,0.0,51.1,5.1,-4.7,0.0,0.16,0.02,-0.01,0.0,Mass,0.086,0.08,-0.059,0.0,1240.33,46.32,-44.58,0.0,1513.0,103.0,-145.0,0.0,0,G3 IV,5667.0,50.0,-50.0,0.0,1.56,0.2,-0.2,0.0,1.17,0.07,-0.05,0.0,0.33,0.07,-0.07,0.0,[Fe/H],4.12,0.11,-0.09,0.0,18h53m01.32s,283.255507,+48d21m18.89s,48.3552474,927.981,14.7985,-14.7985,13.7,0.069,-0.069,12.011,0.02,-0.02,13.5672,0.000214,-0.000214
Kepler-117 b,Kepler-117,1,2,Transit,2014,Kepler,0,18.7959228,7.5e-06,-7.5e-06,0.0,0.1445,0.0047,-0.0014,0.0,8.059,0.269,-0.269,0.0,0.719,0.024,-0.024,0.0,29.875,10.488,-10.488,0.0,0.094,0.033,-0.033,0.0,Mass,0.0493,0.0062,-0.0062,0.0,157.54,9.73,-9.06,0.0,984.0,18.0,-18.0,0.0,1,F8 V,6150.0,110.0,-110.0,0.0,1.61,0.05,-0.05,0.0,1.13,0.13,-0.02,0.0,-0.04,0.1,-0.1,0.0,[Fe/H],4.1,0.02,-0.02,0.0,19h15m10.34s,288.7930651,+48d02m24.63s,48.040176,1455.57,38.385,-38.385,14.282,0.126,-0.126,13.011,0.031,-0.031,14.2472,0.000272,-0.000272
Kepler-117 c,Kepler-117,1,2,Transit,2014,Kepler,0,50.790391,1.4e-05,-1.4e-05,0.0,0.2804,0.0092,-0.0028,0.0,12.341,0.392,-0.392,0.0,1.101,0.035,-0.035,0.0,584.78,57.21,-57.21,0.0,1.84,0.18,-0.18,0.0,Mass,0.0323,0.0033,-0.0033,0.0,41.86,2.59,-2.41,0.0,704.0,15.0,-15.0,0.0,1,F8 V,6150.0,110.0,-110.0,0.0,1.61,0.05,-0.05,0.0,1.13,0.13,-0.02,0.0,-0.04,0.1,-0.1,0.0,[Fe/H],4.1,0.02,-0.02,0.0,19h15m10.34s,288.7930651,+48d02m24.63s,48.040176,1455.57,38.385,-38.385,14.282,0.126,-0.126,13.011,0.031,-0.031,14.2472,0.000272,-0.000272
Kepler-138 b,Kepler-138,1,4,Transit,2014,Kepler,0,10.3134,0.0003,-0.0003,0.0,0.0753,0.0006,-0.0006,0.0,0.64,0.02,-0.02,0.0,0.057,0.002,-0.002,0.0,0.07,0.02,-0.02,0.0,0.00022,6e-05,-6e-05,0.0,Mass,0.02,0.009,-0.009,0.0,9.9,0.7,-0.7,0.0,452.0,8.0,-9.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.54,0.01,-0.01,0.0,0.54,0.01,-0.01,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-138 c,Kepler-138,1,4,Transit,2014,Kepler,0,13.7815,7e-05,-9e-05,0.0,0.0913,0.0007,-0.0007,0.0,1.51,0.04,-0.04,0.0,0.135,0.004,-0.004,0.0,2.3,0.6,-0.5,0.0,0.00724,0.00189,-0.00157,0.0,Mass,0.017,0.008,-0.007,0.0,6.8,0.5,-0.5,0.0,410.0,8.0,-8.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.54,0.01,-0.01,0.0,0.54,0.01,-0.01,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-138 d,Kepler-138,1,4,Transit,2014,Kepler,0,23.0923,0.0006,-0.0006,0.0,0.1288,0.001,-0.001,0.0,1.51,0.04,-0.04,0.0,0.135,0.004,-0.004,0.0,2.1,0.6,-0.7,0.0,0.00661,0.00189,-0.0022,0.0,Mass,0.01,0.005,-0.005,0.0,3.4,0.2,-0.2,0.0,345.0,7.0,-7.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.54,0.01,-0.01,0.0,0.54,0.01,-0.01,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-39 b,Kepler-39,1,1,Transit,2011,Kepler,0,21.08721,3.7e-05,-3.7e-05,0.0,0.164,0.003,-0.003,0.0,13.9,1.01,-1.12,0.0,1.24,0.09,-0.1,0.0,6388.1,413.2,-381.4,0.0,20.1,1.3,-1.3,0.0,Mass,0.112,0.057,-0.057,0.0,90.22,4.09,-3.89,0.0,897.0,29.0,-29.0,0.0,1,F7 V,6350.0,100.0,-100.0,0.0,1.4,0.1,-0.1,0.0,1.29,0.06,-0.07,0.0,0.1,0.14,-0.14,0.0,[Fe/H],4.4,0.15,-0.15,0.0,19h47m50.48s,296.9603348,+46d02m03.46s,46.0342954,1057.41,18.44,-18.44,14.355,0.172,-0.172,12.918,0.028,-0.028,14.2622,0.000275,-0.000275
Kepler-411 b,Kepler-411,2,4,Transit,2013,Kepler,0,3.005156,2e-06,-2e-06,0.0,0.0375,0.0008,-0.0008,0.0,2.401,0.053,-0.053,0.0,0.214,0.005,-0.005,0.0,25.6,2.6,-2.6,0.0,0.08055,0.00818,-0.00818,0.0,Mass,0.146,0.005,-0.004,0.0,191.27,51.01,-25.41,0.0,1138.0,17.0,-17.0,0.0,1,K2 V,4974.0,46.0,-51.0,0.0,0.82,0.02,-0.02,0.0,0.87,0.04,-0.04,0.0,0.11,0.1,-0.1,0.0,[M/H],4.6,0.01,-0.01,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-411 c,Kepler-411,2,4,Transit,2016,Kepler,0,7.834435,2e-06,-2e-06,0.0,0.0739,0.001,-0.001,0.0,4.421,0.062,-0.062,0.0,0.394,0.006,-0.006,0.0,26.4,5.9,-5.9,0.0,0.08306,0.01856,-0.01856,0.0,Mass,0.108,0.003,-0.004,0.0,53.33,14.22,-7.09,0.0,838.0,10.0,-10.0,0.0,1,K2 V,4906.0,48.14,-51.12,0.0,0.82,0.02,-0.02,0.0,0.87,0.04,-0.04,0.0,0.11,0.1,-0.1,0.0,[M/H],4.6,0.01,-0.01,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-411 d,Kepler-411,2,4,Transit,2018,Kepler,0,58.02035,0.00056,-0.00056,0.0,0.279,0.004,-0.004,0.0,3.319,0.104,-0.104,0.0,0.296,0.009,-0.009,0.0,15.2,5.1,-5.1,0.0,0.04782,0.01605,-0.01605,0.0,Mass,0.128,0.003,-0.003,0.0,3.7,0.99,-0.49,0.0,410.0,10.0,-10.0,0.0,1,K2 V,4987.0,93.0,-102.0,0.0,0.82,0.02,-0.02,0.0,0.87,0.04,-0.04,0.0,0.11,0.1,-0.1,0.0,[M/H],4.59,0.01,-0.05,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-412 b,Kepler-412,1,1,Transit,2014,Kepler,0,1.7208604,3e-07,-3e-07,0.0,0.02897,0.00093,-0.00092,0.0,15.031,0.493,-0.516,0.0,1.341,0.044,-0.046,0.0,299.07803,39.72875,-6.03877,0.0,0.941,0.125,-0.019,0.0,Mass,0.0038,0.0087,-0.0032,0.0,2144.31,98.66,-94.03,0.0,1850.0,30.0,-30.0,0.0,1,G3 V,5750.0,90.0,-90.0,0.0,1.29,0.04,-0.04,0.0,1.17,0.09,-0.09,0.0,0.27,0.12,-0.12,0.0,[Fe/H],4.3,0.07,-0.07,0.0,19h04m26.47s,286.1103053,+43d40m51.46s,43.6809612,1086.24,19.16,-19.16,14.399,0.092,-0.092,12.837,0.031,-0.031,14.2486,0.000274,-0.000274
Kepler-423 b,Kepler-423,1,1,Transit,2014,Kepler,0,2.6843285,7e-08,-7e-08,0.0,0.03585,0.00052,-0.00114,0.0,13.361,0.583,-0.583,0.0,1.192,0.052,-0.052,0.0,189.101,25.743,-25.743,0.0,0.595,0.081,-0.081,0.0,Mass,0.019,0.028,-0.014,0.0,649.15,29.11,-27.82,0.0,1605.0,120.0,-120.0,0.0,0,G4 V,5560.0,80.0,-80.0,0.0,0.95,0.04,-0.04,0.0,0.85,0.04,-0.04,0.0,-0.1,0.05,-0.05,0.0,[M/H],4.41,0.04,-0.04,0.0,19h31m25.37s,292.8557189,+46d23m28.28s,46.3911883,758.753,12.76,-12.76,14.462,0.126,-0.126,12.779,0.031,-0.031,14.28,0.000295,-0.000295
Kepler-43 b,Kepler-43,1,1,Transit,2011,Kepler,0,3.0240949,6e-07,-6e-07,0.0,0.046,0.0026,-0.0025,0.0,13.664,0.729,-0.717,0.0,1.219,0.065,-0.064,0.0,1026.5909,82.6358,-82.6358,0.0,3.23,0.26,-0.26,0.0,Mass,0.017,0.027,-0.009,0.0,1138.12,46.31,-44.15,0.0,1620.0,40.0,-40.0,0.0,0,F8 V,6041.0,143.0,-143.0,0.0,1.42,0.07,-0.07,0.0,1.32,0.09,-0.09,0.0,0.33,0.11,-0.11,0.0,[Fe/H],4.26,0.05,-0.05,0.0,19h00m57.80s,285.2408288,+46d40m05.67s,46.6682411,1005.84,14.19,-14.19,13.986,0.149,-0.149,12.549,0.031,-0.031,13.8894,0.000273,-0.000273
Kepler-75 b,Kepler-75,1,1,Transit,2013,Kepler,0,8.8849116,3.4e-06,-3.4e-06,0.0,0.0818,0.0012,-0.0012,0.0,11.77,0.34,-0.34,0.0,1.05,0.03,-0.03,0.0,3209.9,127.1,-127.1,0.0,10.1,0.4,-0.4,0.0,Mass,0.57,0.01,-0.01,0.0,106.48,5.68,-5.33,0.0,767.0,16.0,-16.0,0.0,0,K0 V,5200.0,100.0,-100.0,0.0,0.89,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0,0.3,0.12,-0.12,0.0,[Fe/H],4.5,0.02,-0.02,0.0,19h24m33.03s,291.1376203,+36d34m38.44s,36.5773443,835.356,18.761,-17.968,15.414,0.046,-0.046,13.118,0.029,-0.029,15.1789,0.000726,-0.000726
Kepler-91 b,Kepler-91,1,1,Transit,2013,Kepler,0,6.24658,8e-05,-8e-05,0.0,0.0731,0.0034,-0.0031,0.0,15.323,0.773,-0.673,0.0,1.367,0.069,-0.06,0.0,257.4423,57.2094,-54.0311,0.0,0.81,0.18,-0.17,0.0,Mass,0.0519,0.0095,-0.0088,0.0,3273.32,222.24,-204.96,0.0,2040.0,50.0,-50.0,0.0,0,K3,4550.0,75.0,-75.0,0.0,6.3,0.16,-0.16,0.0,1.31,0.1,-0.1,0.0,0.11,0.07,-0.07,0.0,[Fe/H],2.95,0.01,-0.01,0.0,19h02m41.50s,285.6729033,+44d07m00.30s,44.1167513,1294.69,40.735,-40.735,12.712,0.092,-0.092,10.136,0.021,-0.021,12.4762,0.000168,-0.000168
L 98-59 b,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,2.2531136,1.2e-06,-1.5e-06,0.0,0.02191,0.0008,-0.00084,0.0,0.85,0.061,-0.047,0.0,0.076,0.005,-0.004,0.0,0.4,0.16,-0.15,0.0,0.00126,0.0005,-0.00047,0.0,Mass,0.103,0.117,-0.045,0.0,24.7,5.0,-4.1,0.0,627.0,33.0,-36.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.3,0.03,-0.02,0.0,0.27,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
L 98-59 c,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,3.6906777,1.6e-06,-2.6e-06,0.0,0.0304,0.0011,-0.0012,0.0,1.385,0.095,-0.075,0.0,0.124,0.008,-0.007,0.0,2.22,0.26,-0.25,0.0,0.00698,0.00082,-0.00079,0.0,Mass,0.103,0.045,-0.058,0.0,12.8,2.6,-2.1,0.0,553.0,27.0,-26.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.3,0.03,-0.02,0.0,0.27,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
L 98-59 d,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,7.4507245,8.1e-06,-4.6e-06,0.0,0.0486,0.0018,-0.0019,0.0,1.521,0.119,-0.098,0.0,0.136,0.011,-0.009,0.0,1.94,0.28,-0.28,0.0,0.0061,0.00088,-0.00088,0.0,Mass,0.074,0.057,-0.046,0.0,5.01,1.02,-0.83,0.0,416.0,20.0,-20.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.3,0.03,-0.02,0.0,0.27,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
LP 791-18 c,LP 791-18,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.9899093,7.4e-06,-7.2e-06,0.0,0.02961,0.00035,-0.00036,0.0,2.438,0.096,-0.096,0.0,0.218,0.009,-0.009,0.0,7.1,0.7,-0.7,0.0,0.02234,0.0022,-0.0022,0.0,Mass,8e-05,4e-05,-4e-05,0.0,2.64,0.07,-0.06,0.0,324.0,2.0,-2.0,0.0,0,M(6.1 +/- 0.7) V,2960.0,55.0,-55.0,0.0,0.18,0.01,-0.01,0.0,0.14,0.01,-0.01,0.0,-0.09,0.19,-0.19,0.0,[Fe/H],5.12,0.09,-0.09,0.0,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324
LP 791-18 d,LP 791-18,1,3,Transit,2023,Spitzer Space Telescope,0,2.753436,1.3e-05,-1.3e-05,0.0,0.01992,0.00024,-0.00024,0.0,1.032,0.044,-0.043,0.0,0.092,0.004,-0.004,0.0,0.9,0.5,-0.4,0.0,0.00283,0.00157,-0.00126,0.0,Mass,0.0015,0.00014,-0.00014,0.0,5.83,0.15,-0.14,0.0,396.0,3.0,-2.0,0.0,1,M(6.1 +/- 0.7) V,2960.0,55.0,-55.0,0.0,0.18,0.01,-0.01,0.0,0.14,0.01,-0.01,0.0,-0.09,0.19,-0.19,0.0,[Fe/H],5.12,0.09,-0.09,0.0,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324
LTT 1445 A b,LTT 1445 A,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,5.35876,1e-05,-1e-05,0.0,0.022,0.003,-0.003,0.0,1.18,0.06,-0.06,0.0,0.105,0.005,-0.005,0.0,2.73,0.25,-0.23,0.0,0.00859,0.00079,-0.00072,0.0,Mass,0.19,0.35,-0.14,0.0,5.4,1.2,-1.0,0.0,555.0,48.0,-48.0,0.0,0,M3.0,3340.0,150.0,-150.0,0.0,0.27,0.01,-0.01,0.0,0.26,0.01,-0.01,0.0,-0.34,0.09,-0.09,0.0,[Fe/H],4.97,0.06,-0.06,0.0,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.86929,0.003805,-0.003805,10.59,0.046,-0.046,6.496,0.021,-0.021,10.0469,0.001234,-0.001234
